titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
Araba = Álava : netzwerk von günen wegen,Álava,,1 mapa,Arabako Foru Aldundia = Diputación Foral de Álava,Excursionismo -- Mapas -- Vías verdes -- Mapas,"Inserta: Rutas verdes, senderos de gran recorrido, senderos de pequeño recorrido y rutas de peregrinación",col.
Arabako mapa = Mapa de Álava,Álava,Mapa de Álava,1 mapa,Arabako Foru Aldundia = Diputación Foral de Alava,,"Al verso: Información de contacto de parques naturales, campos de golf, patrimonio histórico, museos, transportes, oficinas de turismo, bodegas y alojamientos turísticos",col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Lekunberriko Turismo Bulegoa,Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Nafarroako Gobernua = Gobierno de Navarra,Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Nafarroako Gobernua = Gobierno de Navarra,Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Pequeño mapa de localización de la zona en Navarra,col.
"Aralar, Leitzaran, Sakana y Ultzama","Cobo, Ana",,1 mapa,Oficina de Turismo de Lekunberri,Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas -- Senderismo -- Mapas,Inserta: Pequeño mapa de localización de la zona en Navarra,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Inserta: Plano de localización y accesos al centro urbano; teléfonos de interés; portales turísticos; información comercial que continúa al verso; fotografías,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Inserta: Plano de localización y accesos al centro urbano; teléfonos de interés; portales turísticos; programa del festival Sonorama Rivera; fotografías,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Incluye mapa de la denominación de origen Ribera del Duero y plano de localización y accesos al centro urbano,col.
Aranda de Duero centro,Aranda de Duero,,1 plano,Oficina de Turismo de Aranda de Duero,,Incluye mapa de la denominación de origen Ribera del Duero y plano de localización y accesos al centro urbano,col.
Arantza : turismo gida = guía turística,Arantza,,1 mapa,Arantza Udala,,Inserta: Información sobre código y señalización de los itinerarios de montaña; localización de casas rurales y hoteles,col.
Armiñongo toponimoen mapa = Mapa toponímico de Armiñón,Geograma,Mapa toponímico de Armiñón,1 mapa,Armiñongo Udala,Nombres geográficos -- Mapas,Inserta: Ampliación de los núcleos urbanos; relación de lugares de interés con su localización en el mapa; relación de yacimientos arqueológicos con su localización en el mapa; nomenclátor,col.
"Arpentez-moi : c'est encore la meilleure façon de me découvrir : vivre Vigo, vivre les Rías Baixas",Turismo de Vigo,,1 plano,Turismo de Vigo,,Inserta: Relación de alojamientos turísticos con su localización en el plano,col.
"Arpentez-moi : c'est la meilleure façon de me découvrir : vivre Pontevedra, vivre les Rías Baixas",Turismo Rías Baixas,,1 plano,Turismo Rías Baixas,,Incluye relación de alojamientos turísticos con su localización en el plano,col.
Arraia-Maeztu,Maeztu,,1 mapa,[Ayuntamiento Arraia-Maeztu],Nombres geográficos -- Mapas,"Inserta: Ampliaciones de los núcleos urbanos del municipio, con localización de lugares de interés, equipamientos y servicios",col.
Artesa de Segre,Instituto Geológico y Minero de España,,2 h.,I.G.M.E.,Geología -- Mapas -- Geomorfología -- Mapas,,col.
Asia política,Editorial Teide,,1 mapa,Editorial Teide,,,col.
Astorga,Copul Publicidad,,1 plano,Copul,Comercios -- Planos,Inserta: Información comercial,col.
Asturias y Cantabria,Anaya Touring,,1 mapa,Anaya Touring,Carreteras -- Mapas -- Carreteras -- Mapas,"Al verso: Índice de lugares: pequeño mapa de localización en España; planos de Santander, Gijón y Oviedo",col.
Ateca,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Atlas de los Servicios de la Comunidad de Madrid 2017,Instituto de Estadística de la Comunidad de Madrid,,1 atlas (233 p.),Dirección General de Economía y Política Financiera,Sector servicios -- Mapas,,"principalmente mapas, col."
Atlas de Navarra,Navarra (Comunidad Autónoma),,1 atlas (198 p.),"Gobierno de Navarra, Vicepresidencia de Desarrollo Económico",Carreteras -- Mapas,,"principalmente mapas, col."
Atlas Geográfico de Chile y del Mundo,Instituto Cartográfico Latino,,1 atlas (192 p.),Vicens Vives,,,"principalmente mapas, col."
Atlas geografikoa eta politikoa 2016 : Euskal Herria eta mundua,Geoatlas,,1 atlas (111 p.),Elhuyar Fundazioa,,,"principalmente mapas, col."
Atlas of high speed rail in Spain,Fundación de los Ferrocarriles Españoles,,79 p.,Fundación de los Ferrocarriles Españoles,Ferrocarriles de alta velocidad -- Mapas,,"mapas, graf., col."
Atles escolar valencià : geografia i història,"Piqueras, Juan",,1 atlas (174 p.),"Universitat de València, Departament de Geografia ;",,,"principalmente mapas, col."
"Atzeneta del Maestrat : Ruta 1, Atzeneta - El Castell - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 2, Atzeneta - El Bovalar - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 3, Atzeneta - Molins de vent - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 4, Atzeneta - La nevera - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 5, Atzeneta - Les Torroelles - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
"Atzeneta del Maestrat : Ruta 6, Atzeneta - Mas de Vidal - Ullal - Atzeneta","Bernat Agut, Jesús",,1 mapa,Ajuntament d'Atzeneta,Senderismo -- Mapas,"Al verso: Descripción de la ruta; perfil del recorrido; tiempo aproximado, distancia, alturas máxima y mínima y nivel de dificultad; fotografías",col.
Avilés,InterMapa,,1 plano,Sociedad Pública de Gestión y Promoción Turística del Principado de Asturias,,Incluye relación de lugares de interés turístico,col.
Ayegui : Camino de Santiago : Km 100 desde Roncesvalles,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Donejakue bidea : Orreagatik 100. km-a.,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Le Chemin de Saint-Jacques : Km 100 de Roncevaux,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Ayegui : Santiago way : Km 100 from Roncesvalles,Ayegui,,1 mapa,[Ayuntamiento de Ayegui],,"Incluye localización del Monasterio de Santa María la Real de Irache y otros lugares de interés, alojamientos y empresas de restauración y fotografías",col.
Baena : plano guía = up guide,Baena,,1 plano,Ayuntamiento de Baena,,"Inserta: Relación de visitas recomendadas, alojamientos y restauración con su localización en el plano; información y equipamientos, servicios y oficina de turismo",col.
Bagà,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Relación de lugares de interés con su localización en el plano,col.
El Bages,"Geotec, Estudis i Projectes",,1 mapa,Diputació [de] Barcelona,,"Inserta: Pequeños mapas de localización en la provincia de Barcelona, en Cataluña y en Europa",col.
Bahía y puerto de Ceuta,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,,col.
Baix Llobregat,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,,Incluye mapa comarcal de Cataluña y mapa de los municipios del Baix Llobregat,col.
El Baix Llobregat,"Geotec, Estudis i Projectes",,1 mapa,Diputació [de] Barcelona,,"Inserta: Pequeños mapas de localización en la provincia de Barcelona, en Cataluña y en Europa",col.
Balaïtous et Vignemale,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Excursionismo -- Mapas,,col.
Balat Humayd : el camino árabe a su paso por la Sierra de Guadarrama : la ruta de Almanzor hacia tierras cristianas,Sociedad Geográfica Café del Guadarrama,,1 mapa,[s.n.],Senderismo -- Mapas,"Inserta: Información demográfica de la provincia de Segovia; coordenadas de los meridianos más usuales para España, Islas Canarias, Portugal, Francia e Inglaterra",col.
Balsareny,SR Mapes,,1 plano,SR Mapes,,Incluye callejero e información comercial con su localización en el plano,col.
"Banyuls de la Marenda, Portbou",Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Suelos -- Mapas -- Suelos -- Mapas,"Incluye esquema edafológico, esquema geológico y clasificación de los suelos",col.
Barcarrota,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad; excursiones recomendadas; fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad con fotografías en color; excursiones recomendadas de un día,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Callejero; plano del metro de la ciudad; plano del centro de Barcelona a escala 1:8.200; información turística y datos de interés; mapa comarcal de Cataluña; información de algunos de los principales monumentos de la ciudad con fotografías en color; excursiones recomendadas de un día,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Índice de calles; ampliación del centro urbano; mapa de comarcas de Cataluña; plano de metro de Barcelona; información y teléfonos de interés turístico; lugares de interés; fotografías,col.
Barcelona,"Nin i Català, Josep",Barcelona Stadtplan,1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, mapa de la ciudad",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, carte de la ville",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep","Barcelona, mappa della città",1 plano,Telstar Distrimapas,,Inserta: Ampliación de la terminal de cruceros del puerto de Barcelona,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Al verso: Índice de calles; ampliación del centro urbano; mapa de comarcas de Cataluña; plano de metro de Barcelona; información y teléfonos de interés turístico; lugares de interés; fotografías,col.
Barcelona,"Nin i Català, Josep",,1 mapa,Distrimapas Telstar,,Incluye mapa del metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Distrimapas Telstar,,Incluye mapa del metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye plano de metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye plano de metro de Barcelona y fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye fotografías,col.
Barcelona officiëlle plattegrond,Turisme de Barcelona,,1 plano,Barcelona Turisme,,Incluye relación de lugares de interés con su localización en el plano y callejero,col.
Barcelona : pocket map,"Esteve, Joan",,1 plano,Triangle Postals,,Al verso: Plano del centro histórico de Barcelona. - 40 x 49 cm. - 1:3.700 ; fotografías,col.
Barcelona - Torre Baró,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Bardenas,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas,,col.
Bardenas,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas,,col.
Baños y Mendigo,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Bellcaire d'Empordà,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,Inserta: Relación de equipamientos y servicios e información comercial que continúa al verso con su localización en el plano,col.
Bellpuig,Bellpuig,,1 plano,Ajuntament de Bellpuig,,Inserta: Relación de lugares de interés con su localización en el plano; pequeño plano de Seana; pequeño plano del Circuito de Cataluña de Motocross,col.
Benabarre,Instituto Geológico y Minero de España,,2 h.,I.G.M.E.,Geología -- Mapas -- Geomorfología -- Mapas,,col.
Benavente,Copul Publicidad,,1 plano,Copul,Comercios -- Planos,Inserta: Información comercial,col.
Benicarló : rutes i senders saludables,Editorial Piolet,,1 mapa,Editorial Piolet ;,Excursionismo -- Mapas,Inserta: Relación de rutas señaladas en el mapa,col.
Benidorm,Ediciones A.M.,,1 plano,Ediciones A.M.,,Inserta: Ampliación del casco antiguo; mapa de carreteras de acceso a Benidorm; servicios públicos con su localización en el plano,col.
Benvinguts a Collserola!,Consorcio del Parque Natural de la Sierra de Collserola,,1 mapa,Parc Natural de la Sierra de Collserola,,"Incluye mapa de localización en el área metropolitana de Barcelona, información general del Consorcio y sus servicios técnicos, hábitats, transportes, equipamientos y servicios, áreas de ocio y teléfonos de interés",col.
Berguedà,Instituto Cartográfico y Geológico de Cataluña,,1 h.,ICGC,,Incluye mapa comarcal de Cataluña y mapa de los municipios de Berguedà,col.
Besalú,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapa de agrupaciones litológicas y elementos estructurales. - 1:50.000,col.
La Bidasoa-Bertiz,"Angulo, Miguel",,1 mapa,Sua Edizioak,Excursionismo -- Mapas -- Excursionismo -- Mapas,,col.
Biking Sierra Nevada,Nubia Consultores,,7 mapas en 1 h.,Patronato Provincial de Turismo de Granada,Ciclismo todoterreno -- Mapas,Al verso: Información general y perfiles altimétricos de las rutas representadas en los mapas; vista panorámica con la localización de las rutas; normativas de bicicletas en el Parque Nacional y Natural de Sierra Nevada,col.
Bilbao,Ediciones A.M.,,1 plano,Ediciones A.M.,,"Incluye índice de calles, lugares de interés, museos, edificios destacados, consulados, alojamientos, teléfonos de información y plano de metro",col.
Bilbao,"Nin i Català, Josep",,1 plano,Telstar Distrimapas,,Incluye índice de calles,col.
Bilboko toponimoen mapa = Mapa toponímico de Bilbao,Geograma,Mapa toponímico de Bilbao,1 mapa,Bilboko Udala,Nombres geográficos -- Mapas,Inserta: Ampliación del casco viejo; relación de lugares y edificios de interés con su localización en el mapa,col.
Bótoa,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Broa de Sanlúcar de Barramenda y fondeadero de Bonanza,Instituto Hidrográfico de la Marina (España),,1 h.,"Ministerio de Defensa, Secretaria General Técnica",,Inserta: De Bonanza a la Salina de Santa Teresa; distribución de cartas del Río Guadalquivir; diagrama de levantamientos y zonas de confianza; niveles de mareas,col.
Brozas,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Buceo = Submarinisme : Menorca,Fundació Foment del Turisme de Menorca,Submarinisme,1 mapa,Fundació Foment del Turisme de Menorca,Buceo -- Mapas,"Inserta: Lugares recomendados para realizar submarinismo, con su localización en el mapa",col.
Burdinmendi : bide berdea = Montes de hierro : vía verde,Asociación de Desarrollo Rural de Las Encartaciones,Montes de hierro,1 mapa,Erkanterrialde,Vías verdes -- Mapas,Inserta: Pequeñas fotografías señalando lugares de interés; tiempos aproximados a pie a lo largo del recorrido,col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Burgos ciudad,Cromo Publicidad,,1 plano,Cromo Publicidad,,"Inserta: Teléfonos de interés; relación de monumentos, museos y alojamientos turísticos con su localización en el plano; pequeño mapa de accesos a Burgos",col.
Cabañeros : Parque Nacional,Organismo Autónomo Parques Nacionales (España),,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas,"Incluye información de interés que continúa al verso, ficha técnica del parque, rutas recomendadas, consejos de seguridad y normas del parque y fotografías",col.
Cabañeros : Parque Nacional,Organismo Autónomo Parques Nacionales (España),,1 mapa,Organismo Autónomo Parques Nacionales,Excursionismo -- Mapas,"Incluye información de interés que continúa al verso, ficha técnica del parque, rutas recomendadas, consejos de seguridad y normas del parque y fotografías",col.
Cabezón de Pisuerga,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cabo de Gata,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Cabrils,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Callejero; relación de equipamientos y servicios con su localización en el plano; información comercial que continúa al verso, con su localización en el plano",col.
Cabuérniga : identidad natural y cultural de Cantabria,Gestidea,,1 mapa,Ayuntamiento de Cabuérniga,Excursionismo -- Mapas,Inserta: Rutas turísticas; elementos y lugares de interés; mapa de situación de Cabuérniga en Cantabria,col.
Cadaqués,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Incluye mapa del término municipial de Cadaqués, mapa del Alt Empordà, nomenclátor de calles de Cadaqués, teléfonos de interés, información comercial que continúa al verso con su localización en el plano y fotografías",col.
Cadaqués : (Alt Empordà),SR Mapes,,1 plano,SR Mapes,,Incluye teléfonos de interés; mapa del término municipal de Cadaqués; mapa de carreteras de la comarca de Alt Empordà,col.
Cadaqués : (Alt Empordà),SR Mapes,,1 plano,SR Mapes,,Incluye teléfonos de interés; mapa del término municipal de Cadaqués; mapa de carreteras de la comarca de Alt Empordà,col.
Cádiz,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 mapa,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Información general y relación de fiestas de interés turístico; pequeños mapas de localización de la provincia en Andalucía y España,col.
Cádiz,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,1 plano,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía,,Inserta: Plano general de la ciudad de Cádiz; mapa de accesos a la ciudad,col.
Cádiz y provincia,Editorial Fisa Escudo de Oro,,1 mapa,Editorial Fisa Escudo de Oro,Carreteras -- Mapas,Inserta: Índice toponímico,col.
Caín,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Calabardina,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calaceit,Asociación de los Pueblos Más Bonitos de España,,1 plano,Asociación Los Pueblos Más Bonitos de España,,"Incluye lugares de interés con breve descripción y su localización en el plano, mapa de la comarca de Matarraña, datos demográficos y distancias kilométricas desde Calaceite a otras ciudades españolas e información comercial",col.
Calatayud,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calatayud,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Calella,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de equipamientos y servicios con su localización en el plano,col.
Calonge,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos -- Comercios -- Planos,Inserta: Callejero; lugares de interés; plano ampliación del centro urbano; mapa de accesos por carretera y localización en la provincia,col.
Camaleño,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Camariñas,Camariñas,,1 mapa,Concello da Camariñas,Excursionismo -- Mapas,Inserta: Rutas por la costa y el interior de Camariñas; consejos para caminantes; información general; fotografías,col.
Camariñas,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Información de las rutas recomendadas por el municipio señaladas en el mapa; mapas de localización en la provincia, España y Europa; señales de senderismo; recomendaciones",col.
Camariñas,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Información de las rutas recomendadas por el municipio señaladas en el mapa; mapas de localización en la provincia, España y Europa; señales de senderismo; recomendaciones",col.
Camariñas : o mar todo,Camariñas,,1 mapa,Concello de Camariñas,,"Inserta: Mapas de localización en la Costa da Morte, España y Europa; playas y lugares de interés a lo largo de las rutas recomendadas, con su localización en el mapa; consejos para caminantes",col.
Cambil,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cambrils gastronomic,Marketing Total,,1 plano,Marketing Total,Comercios -- Planos,Inserta: Teléfonos de interés,col.
Camí Ignasià,Sàpiens Publicacions,Camino Ignaciano,1 mapa,"Generalitat de Catalunya, Direcció General de Turisme",,Inserta: Siete etapas del Camino Ignaciano a su paso por Cataluña señaladas en el mapa; perfil altimétrico del recorrido,col.
"Camíname : es la mejor forma de conocerme : siente Pontevedra, siente Rías Baixas",Turismo Rías Baixas,,1 plano,Turismo Rías Baixas,,Incluye relación de alojamientos turísticos con su localización en el plano,col.
"Camíname : es la mejor forma de conocerme : siente Vigo, siente Rías Baixas",Turismo de Vigo,,1 plano,Turismo de Vigo,,Inserta: Relación de alojamientos turísticos con su localización en el plano,col.
Camino de Santiago,Ediciones A.M.,,13 mapas,Ediciones A.M.,,Insertan: Perfiles altimétricos,"ambas caras, col."
Camino de Santiago = Done Jakue bidea = Way of St. James = Chemin St-Jaques,Etxalar Marketing Turístico,Done Jakue bidea,1 mapa,Etxalar Marketing Turístico,,"Incluye relación de alojamientos, restaurantes, comercios, visitas recomendadas y servicios e información comercial que continúa al verso, con su localización en el mapa",col.
Camino de Santiago = Donejakue bidea,País Vasco,Donejakue bidea,1 mapa,"Eusko Jaurlaritza, Turismo, Merkataritza eta Kontsumo Saila = Gobierno Vasco, Departamento de Turismo, Comercio y Consumo",,"Inserta: Mapas de localización de las capitales de provincia, del País Vasco en Europa y del Camino de la Costa; mapa de localización del Camino de la Costa y del Camino del Interior; actividades y rutas recomendadas",col.
El Camino de Santiago Portugés y Vía de la Plata,Ideas Peregrinas,,1 mapa,Ideasperegrinas.com,,,col.
Camino Fisterra-Muxía,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino Fisterra-Muxía, fotografías",col.
Camino francés,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino francés, fotografías",col.
Camino inglés,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino inglés y fotografías",col.
Camino Lebaniego Castellano,Pin Estudio,,1 mapa,Oficina de Turismo de Palencia,Peregrinaciones cristianas -- Mapas -- Peregrinaciones cristianas -- Mapas,Inserta: Pequeño mapa de localización de la ruta completa de Palencia hasta el monasterio de Santo Toribio de Liébana; esquema y etapas del recorrido con información de kilometraje y servicios,col.
Camino portugués,Galicia,,1 mapa,Xunta de Galicia,,"Incluye perfiles de las etapas, localidades que disponen de albergues para peregrinos, mapa de los caminos en Galicia, mapa de los caminos en Europa, servicios, historia y descripción del Camino portugués y fotografías",col.
Caminos de Santiago en Europa,Instituto Geográfico Nacional (España),,1 mapa,Centro Nacional de Información Geográfica,,Inserta: Cuadro con emblemas de asociaciones europeas de amigos del Camino de Santiago,col.
Los Caminos de Santiago en la provincia de Guadalajara,EMADE,,1 mapa,Ayuntamiento de Trillo,,"Inserta: Etapas del Camino de la Lana, del Camino del Arcipreste y del Camino Occidental y conexiones con el Camino de Santiago",col.
Caminos naturales e itinerarios no motorizados,España,,1 mapa,"Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente",Caminos -- Mapas,"Al verso: Información sobre el Programa de Caminos naturales e itinerarios no motorizados del Ministerio de Agricultura y Pesca, Alimentación y Medio Ambiente; fotografías",col.
Els Camins de Querol : el camí de les terres del Gaià,Editorial Piolet,,1 mapa,Editorial Piolet,Excursionismo -- Mapas,Al verso: Camino de las tierras del Río Gaià; rutas de senderismo y bicicleta de montaña; patrimonio cultural y natural de Querol; perfiles de los recorridos; mapa de lugares de interés del municipio; fotografías,col.
Camporredondo de Alba,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Campos,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Can Magí,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Can Sant Joan,Instituto Cartográfico y Geológico de Cataluña,,1 mapa,ICGC,Geología -- Mapas,Incluye mapas de: 1. Situación geológica. 2. Sedimentos cuaternarios. 3. Ortofotografía histórica. 4. Isopacas de los depósitos cuaternarios y antrópicos. 5. Depósito precuaternario. 6. Ortofotografía actual; columnas de sondeos representativos,col.
Cap de Creus : parc natural,Editorial Alpina,,1 mapa,Editorial Alpina,Excursionismo -- Mapas,,col.
Carboneras,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Carcelén,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Cardedeu : Vallès Oriental,SR Mapes,,1 plano,SR Mapes,,Inserta: Relación de lugares de interés y paradas del autobús urbano con su localización en el plano,col.
